Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Churn,Total usage minutes,Total calls,Service call ratio
128,0,1,25,265.1,110,197.4,99,244.7,91,10.0,3,1,False,717.2,303,0.0033003300330033004
107,0,1,26,161.6,123,195.5,103,254.4,103,13.7,3,1,False,625.2,332,0.0030120481927710845
137,0,0,0,243.4,114,121.2,110,162.6,104,12.2,5,0,False,539.4000000000001,333,0.0
84,1,0,0,299.4,71,61.9,88,196.9,89,6.6,7,2,False,564.8,255,0.00784313725490196
75,1,0,0,166.7,113,148.3,122,186.9,121,10.1,3,3,False,512.0,359,0.008356545961002786
118,1,0,0,223.4,98,220.6,101,203.9,118,6.3,6,0,False,654.1999999999999,323,0.0
121,0,1,24,218.2,88,348.5,108,212.6,118,7.5,7,3,False,786.8000000000001,321,0.009345794392523364
147,1,0,0,157.0,79,103.1,94,211.8,96,7.1,6,0,False,479.00000000000006,275,0.0
141,1,1,37,258.6,84,222.0,111,326.4,97,11.2,5,0,False,818.2,297,0.0
74,0,0,0,187.7,127,163.4,148,196.0,94,9.1,5,0,False,556.2,374,0.0
168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,False,386.0,297,0.003367003367003367
95,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,False,608.8,283,0.01060070671378092
62,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,False,644.0,251,0.01593625498007968
85,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,False,580.3999999999999,308,0.003246753246753247
93,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,False,546.6,349,0.008595988538681949
76,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,False,578.2,244,0.004098360655737705
73,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,False,589.7,254,0.003937007874015748
147,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,False,614.1999999999999,347,0.0
77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,True,447.59999999999997,280,0.017857142857142856
130,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,False,447.20000000000005,308,0.0
132,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,False,573.5999999999999,275,0.0
174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,False,667.6,308,0.00974025974025974
57,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,False,596.3,345,0.0
54,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,False,406.59999999999997,245,0.012244897959183673
20,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,False,636.0,301,0.0
142,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,False,486.2,312,0.00641025641025641
75,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,False,684.0999999999999,315,0.0031746031746031746
172,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,False,549.1,324,0.009259259259259259
12,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,True,794.0,330,0.0030303030303030303
57,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,False,593.5999999999999,289,0.0
72,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,False,604.8000000000001,259,0.011583011583011582
78,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,False,592.3,293,0.0034129692832764505
136,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,False,503.7,318,0.009433962264150943
149,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,False,611.6,303,0.0033003300330033004
98,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,False,490.3,324,0.009259259259259259
135,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,True,513.8,285,0.0
34,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,False,728.5,262,0.007633587786259542
160,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,False,438.8,283,0.01060070671378092
64,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,False,648.6,274,0.0036496350364963502
59,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,False,505.5,310,0.0064516129032258064
142,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,False,571.1999999999999,339,0.0058997050147492625
97,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,False,432.0,275,0.0036363636363636364
52,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,False,706.3,296,0.010135135135135136
60,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,False,687.5,304,0.003289473684210526
96,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,False,665.5,257,0.007782101167315175
87,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,True,584.3000000000001,329,0.015197568389057751
81,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,False,705.2,253,0.003952569169960474
141,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,False,455.7,290,0.0034482758620689655
121,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,True,460.7,286,0.01048951048951049
125,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,False,608.0,332,0.0030120481927710845
174,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,False,540.0,249,0.004016064257028112
116,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,False,624.7,334,0.005988023952095809
149,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,False,646.6,212,0.014150943396226415
38,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,False,461.3,307,0.006514657980456026
40,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,False,537.9000000000001,269,0.007434944237918215
43,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,False,631.4,280,0.0
113,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,False,469.20000000000005,359,0.0
126,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,False,589.8,211,0.004739336492890996
150,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,True,510.40000000000003,314,0.012738853503184714
138,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,False,719.4,287,0.010452961672473868
162,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,False,679.8000000000001,244,0.0
147,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,False,578.0,281,0.010676156583629894
90,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,False,589.8,372,0.002688172043010753
50,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,False,567.9,275,0.0036363636363636364
82,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,True,763.1000000000001,286,0.0
144,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,True,319.9,308,0.012987012987012988
70,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,False,569.0,278,0.0035971223021582736
144,0,0,0,201.1,99,303.5,74,224.0,119,13.2,2,1,False,741.8000000000001,294,0.003401360544217687
116,1,0,0,215.4,104,204.8,79,278.5,109,12.6,5,3,False,711.3000000000001,297,0.010101010101010102
55,0,1,25,165.6,123,136.1,95,175.7,90,11.0,2,3,False,488.4,310,0.00967741935483871
70,0,1,24,249.5,101,259.7,98,222.7,68,9.8,4,1,False,741.6999999999999,271,0.0036900369003690036
106,0,0,0,210.6,96,249.2,85,191.4,88,12.4,1,2,True,663.5999999999999,270,0.007407407407407408
94,0,0,0,157.9,105,155.0,101,189.6,84,8.0,5,4,True,510.5,295,0.013559322033898305
111,0,0,0,214.3,118,208.5,76,182.4,98,12.0,2,1,False,617.2,294,0.003401360544217687
74,0,1,35,154.1,104,123.4,84,202.1,57,10.9,9,2,False,490.5,254,0.007874015748031496
128,0,0,0,237.9,125,247.6,93,208.9,68,13.9,4,1,True,708.3,290,0.0034482758620689655
82,0,0,0,143.9,61,194.9,105,109.6,94,11.1,2,1,False,459.5,262,0.003816793893129771
80,0,0,0,124.3,100,173.0,107,253.2,62,7.9,9,1,False,558.4,278,0.0035971223021582736
78,0,0,0,252.9,93,178.4,112,263.9,105,9.5,7,3,False,704.7,317,0.00946372239747634
90,0,0,0,179.1,71,190.6,81,127.7,91,10.6,7,3,False,508.0,250,0.012
104,0,0,0,278.4,106,81.0,113,163.2,137,9.8,5,1,False,532.3999999999999,361,0.002770083102493075
99,0,0,0,198.2,87,207.3,76,190.9,113,8.7,3,4,False,605.1,279,0.014336917562724014
120,0,0,0,212.1,131,209.4,104,167.2,96,5.3,5,1,True,594.0,336,0.002976190476190476
98,0,1,21,161.2,114,252.2,83,160.2,92,4.4,8,4,False,577.9999999999999,297,0.013468013468013467
135,0,0,0,151.7,82,119.0,105,180.0,100,10.5,6,0,False,461.2,293,0.0
122,0,0,0,170.5,94,173.7,109,248.6,75,11.3,2,1,False,604.0999999999999,280,0.0035714285714285713
95,0,0,0,238.1,65,187.2,98,190.0,115,11.8,4,4,False,627.0999999999999,282,0.014184397163120567
93,0,1,21,117.9,131,164.5,115,217.0,86,9.8,3,1,False,509.2,335,0.0029850746268656717
157,0,0,0,229.8,90,147.9,121,241.4,108,9.6,7,3,False,628.7,326,0.009202453987730062
120,0,0,0,165.0,100,317.2,83,119.2,86,8.3,8,1,False,609.6999999999999,277,0.0036101083032490976
103,0,0,0,185.0,117,223.3,94,222.8,91,12.6,2,2,False,643.7,304,0.006578947368421052
98,0,0,0,161.0,117,190.9,113,227.7,113,12.1,4,4,False,591.6999999999999,347,0.011527377521613832
125,0,0,0,126.7,108,206.0,90,247.8,114,13.3,7,1,False,593.8,319,0.003134796238244514
36,1,1,42,196.8,89,254.9,122,138.3,126,20.0,6,0,True,610.0,343,0.0
64,0,0,0,162.6,83,152.3,109,57.5,122,14.2,3,1,False,386.59999999999997,317,0.0031545741324921135
74,0,0,0,282.5,114,219.9,48,170.0,115,9.4,4,1,True,681.8,281,0.0035587188612099642
112,0,1,36,113.7,117,157.5,82,177.6,118,10.0,3,2,False,458.79999999999995,320,0.00625
46,0,0,0,210.2,92,227.3,77,200.1,116,13.1,7,1,False,650.7,292,0.003424657534246575
41,0,1,22,213.8,102,141.8,86,142.2,123,7.2,3,0,False,505.0,314,0.0
121,0,0,0,190.7,103,183.5,117,220.8,103,9.8,4,3,False,604.8,327,0.009174311926605505
193,0,0,0,170.9,124,132.3,95,112.9,89,11.6,3,1,False,427.70000000000005,311,0.003215434083601286
130,0,0,0,154.2,119,110.2,98,227.4,117,9.2,5,2,False,500.99999999999994,339,0.0058997050147492625
85,0,0,0,201.4,52,229.4,104,252.5,106,12.0,3,1,False,695.3,265,0.0037735849056603774
162,0,0,0,70.7,108,157.5,87,154.8,82,9.1,3,4,True,392.1,280,0.014285714285714285
61,0,1,27,187.5,124,146.6,103,225.7,129,6.4,6,4,True,566.1999999999999,362,0.011049723756906077
92,0,0,0,91.7,90,193.7,123,175.0,86,9.2,4,2,False,469.59999999999997,303,0.006600660066006601
131,0,1,36,214.2,115,161.7,117,264.7,102,9.5,4,3,False,650.0999999999999,338,0.008875739644970414
90,0,0,0,145.5,92,217.7,114,146.9,123,10.9,2,3,False,521.0,331,0.00906344410876133
78,0,0,0,231.0,115,230.4,140,261.4,120,9.5,3,1,False,732.3,378,0.0026455026455026454
82,0,0,0,200.3,96,201.2,102,206.1,60,7.1,1,4,False,614.7,259,0.015444015444015444
163,0,0,0,197.0,109,202.6,128,206.4,80,9.1,10,1,False,615.1,327,0.0030581039755351682
91,1,0,0,129.9,112,173.3,83,247.2,130,11.2,3,3,False,561.6000000000001,328,0.009146341463414634
75,0,1,21,175.8,97,217.5,106,237.5,134,5.3,4,5,False,636.0999999999999,341,0.01466275659824047
91,0,0,0,203.1,106,210.1,113,195.6,129,12.0,3,3,False,620.8,351,0.008547008547008548
127,0,1,36,183.2,117,126.8,76,263.3,71,11.2,8,1,False,584.5,272,0.003676470588235294
113,0,1,23,205.0,101,152.0,60,158.6,59,10.2,5,2,False,525.8000000000001,225,0.008888888888888889
110,0,0,0,148.5,115,276.4,84,193.6,112,12.4,3,1,False,630.9,314,0.0031847133757961785
120,0,1,39,200.3,68,220.4,97,253.8,116,10.5,4,0,False,685.0,285,0.0
157,0,1,28,192.6,107,195.5,74,109.7,139,6.8,5,3,False,504.6,325,0.009230769230769232
103,0,0,0,246.5,47,195.5,84,200.5,96,11.7,4,1,False,654.2,231,0.004329004329004329
117,1,0,0,167.1,86,177.5,87,249.4,132,14.1,7,2,True,608.1,312,0.00641025641025641
140,0,0,0,231.9,101,160.1,94,110.4,98,14.3,6,3,False,516.6999999999999,299,0.010033444816053512
83,1,0,0,271.5,87,216.3,126,121.1,105,11.7,4,1,False,620.6,322,0.003105590062111801
145,0,1,43,257.7,97,162.1,95,286.9,86,11.1,4,2,False,717.8,282,0.0070921985815602835
113,0,0,0,193.8,99,221.4,125,172.3,67,10.6,6,1,False,598.1,297,0.003367003367003367
56,0,0,0,226.0,112,248.5,118,140.5,142,6.9,11,1,False,621.9,383,0.0026109660574412533
96,0,0,0,260.4,115,146.0,46,269.5,87,11.5,4,5,False,687.4,252,0.01984126984126984
151,0,0,0,178.7,116,292.1,138,265.9,101,9.8,4,0,False,746.5,359,0.0
83,0,0,0,337.4,120,227.4,116,153.9,114,15.8,7,0,True,734.4999999999999,357,0.0
139,0,1,23,157.6,129,247.0,96,259.2,112,13.7,2,0,False,677.5,339,0.0
115,0,1,24,142.1,124,183.4,129,164.8,114,9.6,4,1,False,499.90000000000003,371,0.0026954177897574125
87,0,0,0,136.3,97,172.2,108,137.5,101,7.1,5,0,False,453.1,311,0.0
141,0,0,0,217.1,110,241.5,111,253.5,103,12.0,6,0,False,724.1,330,0.0
141,0,1,36,187.5,99,241.4,116,229.5,105,10.5,5,3,False,668.9,325,0.009230769230769232
62,0,0,0,98.9,103,135.4,122,236.6,82,12.2,1,1,False,483.09999999999997,308,0.003246753246753247
146,0,0,0,206.3,151,148.6,89,167.2,91,6.1,3,1,False,528.1999999999999,334,0.0029940119760479044
92,0,1,33,243.1,92,213.8,92,228.7,104,12.1,2,2,False,697.6999999999999,290,0.006896551724137931
185,0,1,31,189.8,126,163.3,133,264.8,126,7.5,3,1,False,625.4000000000001,388,0.002577319587628866
148,0,0,0,202.0,102,243.2,128,261.3,90,10.9,3,1,False,717.4,323,0.0030959752321981426
94,0,1,38,170.1,124,193.3,116,105.9,73,12.8,4,1,False,482.09999999999997,317,0.0031545741324921135
68,0,0,0,237.1,105,223.5,105,97.4,79,13.2,2,1,False,571.2,291,0.003436426116838488
179,0,0,0,219.2,92,149.4,125,244.7,104,6.1,5,0,False,619.4,326,0.0
94,0,0,0,252.6,104,169.0,125,170.9,106,11.1,7,2,False,603.6,342,0.005847953216374269
62,0,0,0,147.1,91,190.4,107,195.2,115,12.2,3,0,False,544.9000000000001,316,0.0
116,0,0,0,173.5,93,194.1,76,208.0,112,16.2,10,3,False,591.8000000000001,291,0.010309278350515464
70,0,0,0,232.1,122,292.3,112,201.2,112,0.0,0,3,False,725.5999999999999,346,0.008670520231213872
94,1,1,23,197.1,125,214.5,136,282.2,103,9.5,5,4,False,703.3,369,0.01084010840108401
126,0,0,0,58.2,94,138.7,118,136.8,91,11.9,1,5,True,345.59999999999997,304,0.01644736842105263
67,0,1,36,115.6,111,237.7,94,169.9,103,9.9,12,2,False,533.0999999999999,320,0.00625
19,0,0,0,186.1,98,254.3,57,214.0,127,14.6,7,2,False,669.0,289,0.006920415224913495
170,1,0,0,259.9,68,245.0,122,134.4,121,8.4,3,3,False,647.6999999999999,314,0.009554140127388535
73,0,0,0,214.3,145,268.5,135,241.2,92,10.8,13,1,False,734.8,385,0.0025974025974025974
106,0,0,0,158.7,74,64.3,139,198.5,103,10.2,4,1,False,431.7,320,0.003125
164,0,0,0,160.6,111,163.2,126,187.1,112,9.0,3,1,False,519.9,352,0.002840909090909091
51,0,0,0,232.4,109,187.4,95,231.2,107,9.1,3,1,False,660.1,314,0.0031847133757961785
107,0,0,0,133.8,85,180.5,94,112.2,115,8.9,4,0,False,435.4,298,0.0
130,0,0,0,176.9,109,90.7,104,238.0,69,9.5,2,1,False,515.1,284,0.0035211267605633804
80,0,0,0,209.9,74,195.1,77,208.2,119,8.8,4,2,False,622.0,274,0.0072992700729927005
94,0,0,0,137.5,118,203.2,88,150.0,131,13.4,2,0,False,504.09999999999997,339,0.0
118,0,1,23,289.5,52,166.6,111,119.1,88,9.5,4,1,False,584.7,255,0.00392156862745098
117,0,1,23,198.1,86,177.0,86,180.5,92,6.8,6,1,False,562.4,270,0.003703703703703704
78,0,0,0,149.7,119,182.2,115,261.5,126,9.7,8,0,False,603.1,368,0.0
131,1,1,26,292.9,101,199.7,97,255.3,127,13.8,7,4,True,761.6999999999999,332,0.012048192771084338
63,0,0,0,83.0,64,177.0,106,245.7,89,13.0,3,0,False,518.7,262,0.0
53,0,1,24,145.7,146,220.5,136,249.9,96,13.1,5,3,False,629.2,383,0.007832898172323759
62,0,0,0,182.3,101,328.2,93,245.0,131,11.2,1,2,False,766.7,326,0.006134969325153374
97,0,0,0,218.0,86,184.0,94,240.5,110,6.4,8,3,False,648.9,298,0.010067114093959731
105,0,0,0,140.6,109,178.6,51,217.0,83,6.8,3,2,False,543.0,246,0.008130081300813009
157,0,0,0,152.7,105,257.5,80,198.1,93,9.4,4,1,False,617.6999999999999,282,0.0035460992907801418
66,0,1,36,106.7,76,209.8,77,190.4,117,12.1,2,1,False,519.0,272,0.003676470588235294
38,0,0,0,194.4,94,186.7,95,223.3,90,10.8,5,3,False,615.2,284,0.01056338028169014
106,0,0,0,213.9,95,151.9,70,260.1,124,12.2,5,3,False,638.1000000000001,294,0.01020408163265306
99,0,0,0,217.2,112,246.7,89,226.1,89,15.8,7,3,False,705.8,297,0.010101010101010102
144,1,0,0,203.5,100,247.6,103,194.3,94,11.9,11,0,False,657.3000000000001,308,0.0
82,0,1,24,155.2,131,244.5,106,122.4,68,10.7,3,1,False,532.8000000000001,308,0.003246753246753247
86,0,1,31,167.6,139,113.0,118,246.9,121,12.2,6,1,False,539.7,384,0.0026041666666666665
70,1,0,0,226.7,98,228.1,115,73.2,93,17.6,4,2,True,545.6,310,0.0064516129032258064
93,0,0,0,179.3,93,178.6,98,225.2,131,11.5,6,3,False,594.5999999999999,328,0.009146341463414634
93,0,0,0,151.4,89,186.4,76,172.5,120,10.9,3,0,False,521.2,288,0.0
120,0,0,0,180.0,80,224.2,82,265.4,91,4.7,7,3,False,674.3,260,0.011538461538461539
136,0,0,0,250.2,121,267.1,118,151.0,114,13.0,2,1,True,681.3,355,0.0028169014084507044
106,0,0,0,223.0,121,110.1,98,188.7,107,7.1,12,0,False,528.9,338,0.0
81,0,0,0,183.6,116,152.6,98,212.2,99,12.2,6,3,False,560.6,319,0.009404388714733543
127,0,1,22,166.0,114,174.5,103,244.9,68,10.2,6,1,False,595.6,291,0.003436426116838488
35,0,0,0,149.3,113,242.2,122,174.3,104,8.9,6,2,False,574.6999999999999,345,0.005797101449275362
88,0,0,0,65.4,97,168.2,76,236.0,113,13.8,1,2,False,483.40000000000003,287,0.006968641114982578
123,0,0,0,206.9,85,244.7,78,221.5,136,7.7,2,3,False,680.8000000000001,301,0.009966777408637873
